AnoQuarter Linha_produto Categoria_produto Custo_dinheiro
1999Q1 Children "Children Sports" 4980
1999Q1 Children "Children Sports" 1479
1999Q1 Children "Children Sports" 9348
1999Q1 Children "Children Sports" 7136
1999Q1 Children "Children Sports" 7163
1999Q1 Children "Children Sports" 19153
1999Q1 Children "Children Sports" 1975
1999Q1 Children "Children Sports" 288
1999Q1 Children "Children Sports" 7334
1999Q1 Children "Children Sports" 21847
1999Q1 Children "Children Sports" 3020
1999Q1 "Clothes & Shoes" Clothes 84982
1999Q1 "Clothes & Shoes" Clothes 4706
1999Q1 "Clothes & Shoes" Clothes 79951
1999Q1 "Clothes & Shoes" Clothes 16878
1999Q1 "Clothes & Shoes" Clothes 14394
1999Q1 "Clothes & Shoes" Clothes 3767
1999Q1 "Clothes & Shoes" Clothes 38066
1999Q1 "Clothes & Shoes" Clothes 11650
1999Q1 "Clothes & Shoes" Clothes 9218
1999Q1 "Clothes & Shoes" Clothes 2278
1999Q1 "Clothes & Shoes" Clothes 2099
1999Q1 "Clothes & Shoes" Clothes 15325
1999Q1 "Clothes & Shoes" Clothes 5829
1999Q1 "Clothes & Shoes" Clothes 69039
1999Q1 "Clothes & Shoes" Clothes 9522
1999Q1 "Clothes & Shoes" Shoes 205449
1999Q1 "Clothes & Shoes" Shoes 98815
1999Q1 "Clothes & Shoes" Shoes 92492
1999Q1 Outdoors Outdoors 236288
1999Q1 Outdoors Outdoors 43060
1999Q1 Outdoors Outdoors 5756
1999Q1 Outdoors Outdoors 4104
1999Q1 Outdoors Outdoors 85201
1999Q1 Outdoors Outdoors 74168
1999Q1 Outdoors Outdoors 123547
1999Q1 Sports "Assorted Sports Articles" 146611
1999Q1 Sports "Assorted Sports Articles" 20224
1999Q1 Sports "Assorted Sports Articles" 8991
1999Q1 Sports "Assorted Sports Articles" 187259
1999Q1 Sports Golf 76791
1999Q1 Sports Golf 41045
1999Q1 Sports "Indoor Sports" 60817
1999Q1 Sports "Indoor Sports" 9569
1999Q1 Sports "Indoor Sports" 39674
1999Q1 Sports "Racket Sports" 13498
1999Q1 Sports "Racket Sports" 44820
1999Q1 Sports "Racket Sports" 13944
1999Q1 Sports "Running - Jogging" 46763
1999Q1 Sports "Running - Jogging" 52840
1999Q1 Sports "Swim Sports" 25863
1999Q1 Sports "Team Sports" 5990
1999Q1 Sports "Team Sports" 3604
1999Q1 Sports "Team Sports" 2853
1999Q1 Sports "Team Sports" 19317
1999Q1 Sports "Winter Sports" 213396
1999Q1 Sports "Winter Sports" 138916
1999Q2 Children "Children Sports" 10243
1999Q2 Children "Children Sports" 3217
1999Q2 Children "Children Sports" 17268
1999Q2 Children "Children Sports" 13860
1999Q2 Children "Children Sports" 13148
1999Q2 Children "Children Sports" 41117
1999Q2 Children "Children Sports" 4180
1999Q2 Children "Children Sports" 344
1999Q2 Children "Children Sports" 15763
1999Q2 Children "Children Sports" 44840
1999Q2 Children "Children Sports" 5289
1999Q2 "Clothes & Shoes" Clothes 156126
1999Q2 "Clothes & Shoes" Clothes 9264
1999Q2 "Clothes & Shoes" Clothes 43345
1999Q2 "Clothes & Shoes" Clothes 31183
1999Q2 "Clothes & Shoes" Clothes 26349
1999Q2 "Clothes & Shoes" Clothes 11770
1999Q2 "Clothes & Shoes" Clothes 65043
1999Q2 "Clothes & Shoes" Clothes 23831
1999Q2 "Clothes & Shoes" Clothes 16426
1999Q2 "Clothes & Shoes" Clothes 3866
1999Q2 "Clothes & Shoes" Clothes 3703
1999Q2 "Clothes & Shoes" Clothes 33972
1999Q2 "Clothes & Shoes" Clothes 9721
1999Q2 "Clothes & Shoes" Clothes 126424
1999Q2 "Clothes & Shoes" Clothes 12789
1999Q2 "Clothes & Shoes" Shoes 340341
1999Q2 "Clothes & Shoes" Shoes 159684
1999Q2 "Clothes & Shoes" Shoes 160034
1999Q2 Outdoors Outdoors 162450
1999Q2 Outdoors Outdoors 102754
1999Q2 Outdoors Outdoors 5557
1999Q2 Outdoors Outdoors 2012
1999Q2 Outdoors Outdoors 192599
1999Q2 Outdoors Outdoors 181599
1999Q2 Outdoors Outdoors 300826
1999Q2 Sports "Assorted Sports Articles" 237328
1999Q2 Sports "Assorted Sports Articles" 20502
1999Q2 Sports "Assorted Sports Articles" 25301
1999Q2 Sports "Assorted Sports Articles" 444409
1999Q2 Sports Golf 180709
1999Q2 Sports Golf 84713
1999Q2 Sports "Indoor Sports" 24463
1999Q2 Sports "Indoor Sports" 4850
1999Q2 Sports "Indoor Sports" 18469
1999Q2 Sports "Racket Sports" 9269
1999Q2 Sports "Racket Sports" 71155
1999Q2 Sports "Racket Sports" 36854
1999Q2 Sports "Running - Jogging" 77019
1999Q2 Sports "Running - Jogging" 77014
1999Q2 Sports "Swim Sports" 60166
1999Q2 Sports "Team Sports" 14193
1999Q2 Sports "Team Sports" 9366
1999Q2 Sports "Team Sports" 1385
1999Q2 Sports "Team Sports" 48241
1999Q2 Sports "Winter Sports" 75872
1999Q2 Sports "Winter Sports" 55672
1999Q3 Children "Children Sports" 8833
1999Q3 Children "Children Sports" 2977
1999Q3 Children "Children Sports" 16820
1999Q3 Children "Children Sports" 13593
1999Q3 Children "Children Sports" 12200
1999Q3 Children "Children Sports" 40754
1999Q3 Children "Children Sports" 3883
1999Q3 Children "Children Sports" 496
1999Q3 Children "Children Sports" 12317
1999Q3 Children "Children Sports" 42517
1999Q3 Children "Children Sports" 4860
1999Q3 "Clothes & Shoes" Clothes 167951
1999Q3 "Clothes & Shoes" Clothes 8952
1999Q3 "Clothes & Shoes" Clothes 30528
1999Q3 "Clothes & Shoes" Clothes 35957
1999Q3 "Clothes & Shoes" Clothes 22507
