AnoQuarter|Linha_produto|Categoria_produto|Total_dinheiro_vendido
1999Q1|Children|Children Sports|899090
1999Q1|Children|Children Sports|256040
1999Q1|Children|Children Sports|1876880
1999Q1|Children|Children Sports|1433720
1999Q1|Children|Children Sports|1299620
1999Q1|Children|Children Sports|3425050
1999Q1|Children|Children Sports|333930
1999Q1|Children|Children Sports|58040
1999Q1|Children|Children Sports|1321960
1999Q1|Children|Children Sports|4004950
1999Q1|Children|Children Sports|535470
1999Q1|Clothes & Shoes|Clothes|17020610
1999Q1|Clothes & Shoes|Clothes|784620
1999Q1|Clothes & Shoes|Clothes|14007794
1999Q1|Clothes & Shoes|Clothes|3253550
1999Q1|Clothes & Shoes|Clothes|2604720
1999Q1|Clothes & Shoes|Clothes|719210
1999Q1|Clothes & Shoes|Clothes|7223650
1999Q1|Clothes & Shoes|Clothes|2229430
1999Q1|Clothes & Shoes|Clothes|1571280
1999Q1|Clothes & Shoes|Clothes|406300
1999Q1|Clothes & Shoes|Clothes|356490
1999Q1|Clothes & Shoes|Clothes|2639180
1999Q1|Clothes & Shoes|Clothes|1049710
1999Q1|Clothes & Shoes|Clothes|12704680
1999Q1|Clothes & Shoes|Clothes|1887833
1999Q1|Clothes & Shoes|Shoes|41379640
1999Q1|Clothes & Shoes|Shoes|18327920
1999Q1|Clothes & Shoes|Shoes|17020040
1999Q1|Outdoors|Outdoors|42062154
1999Q1|Outdoors|Outdoors|8126850
1999Q1|Outdoors|Outdoors|990080
1999Q1|Outdoors|Outdoors|713558
1999Q1|Outdoors|Outdoors|15049270
1999Q1|Outdoors|Outdoors|14613280
1999Q1|Outdoors|Outdoors|25116380
1999Q1|Sports|Assorted Sports Articles|26602415
1999Q1|Sports|Assorted Sports Articles|3445420
1999Q1|Sports|Assorted Sports Articles|1622530
1999Q1|Sports|Assorted Sports Articles|38496330
1999Q1|Sports|Golf|15919070
1999Q1|Sports|Golf|5705520
1999Q1|Sports|Indoor Sports|12185700
1999Q1|Sports|Indoor Sports|1702436
1999Q1|Sports|Indoor Sports|7177326
1999Q1|Sports|Racket Sports|1820380
1999Q1|Sports|Racket Sports|7651040
1999Q1|Sports|Racket Sports|2395030
1999Q1|Sports|Running - Jogging|8165780
1999Q1|Sports|Running - Jogging|9513980
1999Q1|Sports|Swim Sports|4413080
1999Q1|Sports|Team Sports|1060886
1999Q1|Sports|Team Sports|644470
1999Q1|Sports|Team Sports|461765
1999Q1|Sports|Team Sports|3692700
1999Q1|Sports|Winter Sports|37741135
1999Q1|Sports|Winter Sports|24787279
1999Q2|Children|Children Sports|1849910
1999Q2|Children|Children Sports|555266
1999Q2|Children|Children Sports|3468820
1999Q2|Children|Children Sports|2805244
1999Q2|Children|Children Sports|2387110
1999Q2|Children|Children Sports|7370828
1999Q2|Children|Children Sports|701830
1999Q2|Children|Children Sports|69340
